userId,session,start,end,readWords,unknownWords,wpm,hours
8ACCQYz8NMc4Lc9Nze3R,4,1584310678,1584312751,3263,162,93.25721485761468,0.6761944444444443
8ACCQYz8NMc4Lc9Nze3R,5,1584394143,1584412345,8389,333,71.67403532632751,4.2431944444444465
8ACCQYz8NMc4Lc9Nze3R,6,1584470075,1584500342,6360,179,96.35986884735263,9.629472222222224
8ACCQYz8NMc4Lc9Nze3R,7,1584586802,1584586844,241,1,148.89585952374216,0.028111111111111108
8ACCQYz8NMc4Lc9Nze3R,8,1584640575,1584640871,501,0,511.8536276762228,0.01130277777777778
8ACCQYz8NMc4Lc9Nze3R,9,1584712375,1584738242,19293,576,138.04158873145704,3.178924999999999
8ACCQYz8NMc4Lc9Nze3R,10,1584823775,1584830587,1550,70,173.32580489623996,0.15155555555555555
8ACCQYz8NMc4Lc9Nze3R,11,1584893980,1584893980,18,0,635.2941176470588,0.0004722222222222222
8ACCQYz8NMc4Lc9Nze3R,13,1585257387,1585258432,2259,38,149.94306848005633,0.29733333333333334
8ACCQYz8NMc4Lc9Nze3R,14,1585378312,1585378609,714,12,145.81201658766383,0.08436111111111111
8ACCQYz8NMc4Lc9Nze3R,15,1585432684,1585467753,1601,61,197.91724507334942,0.19938888888888892
8ACCQYz8NMc4Lc9Nze3R,16,1585478746,1585516499,10778,418,103.62139571621168,2.0971944444444435
8ACCQYz8NMc4Lc9Nze3R,17,1585552348,1585593787,7210,387,114.02832164384206,2.0518888888888887
8ACCQYz8NMc4Lc9Nze3R,18,1585598778,1585604108,1982,113,47.74520862374963,0.7744166666666665
8ACCQYz8NMc4Lc9Nze3R,19,1585650644,1585666797,762,8,269.7218663395575,0.050083333333333334
8ACCQYz8NMc4Lc9Nze3R,20,1585706937,1585735916,1769,56,178.5585728074563,0.2955277777777778
8ACCQYz8NMc4Lc9Nze3R,21,1585802039,1585844534,7454,350,138.62906514636407,1.7892222222222225
8ACCQYz8NMc4Lc9Nze3R,22,1585848562,1585852159,3497,234,107.32660971217864,0.7369166666666666
8ACCQYz8NMc4Lc9Nze3R,23,1585907401,1585935346,6687,345,79.00483847847246,1.7627777777777778
8ACCQYz8NMc4Lc9Nze3R,24,1585994519,1586020747,4699,174,110.87649904565329,1.1415555555555557
8ACCQYz8NMc4Lc9Nze3R,25,1586164293,1586197126,4539,180,104.77050087069918,1.01475
8ACCQYz8NMc4Lc9Nze3R,26,1586230531,1586238303,3685,146,76.4907511866572,1.1761111111111109
8ACCQYz8NMc4Lc9Nze3R,27,1586288130,1586291484,2222,59,213.55140102888382,0.4761666666666667
8ACCQYz8NMc4Lc9Nze3R,28,1586352982,1586357408,1047,35,159.24955525824302,0.3001388888888889
8ACCQYz8NMc4Lc9Nze3R,29,1586399596,1586431171,15958,548,93.24817201168675,3.6235277777777775
