word,pos,signal,userId,cheat,session,time,eltime,wpm,i
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535030,54.7,161.24314442413163,10
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535030,54.7,161.24314442413163,10
Jade,RB,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
thing,NN,0.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
Jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708967,24.6,368.29268292682923,12
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708997,30.4,272.3684210526316,13
Jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708997,30.4,272.3684210526316,13
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708997,30.4,272.3684210526316,13
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569708997,30.4,272.3684210526316,13
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569709057,60.0,145.0,14
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,2,1569709057,60.0,145.0,14
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
